repeat,fold,model,auc,within_site_auc
4,2,tangent_mlp_ens,0.6358514724711908,0.6686930091185409
4,3,motion_only_lr,0.6352112676056338,0.5352040816326531
4,3,pearson_adjusted_lr,0.6366197183098592,0.6204081632653061
4,3,pearson_lr,0.627144686299616,0.6142857142857143
4,3,pearson_mlp_ens,0.6355953905249679,0.6224489795918368
4,3,site_motion_lr,0.6672215108834827,0.5392857142857143
4,3,site_only_lr,0.6407170294494238,0.5
4,3,tangent_adjusted_lr,0.7060179257362356,0.7051020408163267
4,3,tangent_lr,0.7011523687580025,0.7071428571428572
4,3,tangent_mlp_ens,0.7026888604353394,0.6908163265306123
5,1,motion_only_lr,0.571065344520722,0.5721393034825871
5,1,pearson_adjusted_lr,0.6356470887363337,0.5980099502487563
5,1,pearson_lr,0.6254767353165522,0.5791044776119403
5,1,pearson_mlp_ens,0.6450546656496314,0.6268656716417911
5,1,site_motion_lr,0.6084413933384185,0.5462686567164178
5,1,site_only_lr,0.6238240528858378,0.5
5,1,tangent_adjusted_lr,0.6356470887363336,0.5751243781094527
5,1,tangent_lr,0.6308161708619374,0.5691542288557214
5,1,tangent_mlp_ens,0.6313246885329266,0.565174129353234
5,2,motion_only_lr,0.6153649167733674,0.5977710233029382
5,2,pearson_adjusted_lr,0.5946222791293213,0.6068895643363729
5,2,pearson_lr,0.586427656850192,0.60790273556231
5,2,pearson_mlp_ens,0.6023047375160052,0.6139817629179332
5,2,site_motion_lr,0.6537772087067861,0.6099290780141844
5,2,site_only_lr,0.631113956466069,0.5
5,2,tangent_adjusted_lr,0.5751600512163892,0.5349544072948327
5,2,tangent_lr,0.5818181818181818,0.5390070921985817
5,2,tangent_mlp_ens,0.5918053777208706,0.5450861195542046
5,3,motion_only_lr,0.688348271446863,0.6275510204081632
5,3,pearson_adjusted_lr,0.5528809218950064,0.43979591836734694
5,3,pearson_lr,0.5462227912932139,0.4489795918367347
5,3,pearson_mlp_ens,0.5848911651728553,0.47346938775510206
5,3,site_motion_lr,0.7290653008962867,0.6336734693877552
5,3,site_only_lr,0.6407170294494238,0.5
5,3,tangent_adjusted_lr,0.6827144686299617,0.6081632653061224
5,3,tangent_lr,0.6850192061459667,0.6112244897959184
5,3,tangent_mlp_ens,0.6837387964148528,0.6265306122448979
